" The customer doesn\'t exist in the system anymore"," The customer doesn\'t exist in the system anymore"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(\\t for tab)","(\\t for tab)"
"-- Please Select --","-- Please Select --"
"-- Please select a category --","-- Please select a category --"
"--Please Select--","--Please Select--"
"2YTD","2YTD"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>"
"API Stability","API Stability"
"API Version","API Version"
"API:","API:"
"Access Denied.","Access Denied."
"Access Deny","Access Deny"
"Account Created in:","Account Created in:"
"Account Created on:","Account Created on:"
"Account Information","Account Information"
"Account status","Account status"
"Account successfully saved","Account successfully saved"
"Action","Action"
"Action Code","Action Code"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Active"
"Add Field Mapping","Add Field Mapping"
"Add New Image","Add New Image"
"Add New Profile","Add New Profile"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New Urlrewrite","Add New Urlrewrite"
"Add New User","Add New User"
"Add Url Rewrite","Add Url Rewrite"
"Add new Role","Add new Role"
"Address Type:","Address Type:"
"Admin","Admin"
"Advanced Profiles","Advanced Profiles"
"Aggregate Order","Aggregate Order"
"All","All"
"All Allowed Countries","All Allowed Countries"
"All Files","All Files"
"All Store Views","All Store Views"
"All Tags","All Tags"
"All Websites","All Websites"
"All countries","All countries"
"All fields","All fields"
"All possible rates were fetched, click on ""Save"" to apply","All possible rates were fetched, click on ""Save"" to apply"
"All rates were fetched, click on ""Save"" to apply","All rates were fetched, click on ""Save"" to apply"
"All valid rates successfully saved","All valid rates successfully saved"
"Amounts","Amounts"
"Any","Any"
"Any Attribute Set","Any Attribute Set"
"Any Group","Any Group"
"Any Status","Any Status"
"Any Store","Any Store"
"Any Type","Any Type"
"Any Visibility","Any Visibility"
"Archive file name:","Archive file name:"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure you wish to INSTALL all selected packages?","Are you sure you wish to INSTALL all selected packages?"
"Are you sure you wish to UNINSTALL all selected packages?","Are you sure you wish to UNINSTALL all selected packages?"
"Are you sure you wish to UPGRADE all selected packages?","Are you sure you wish to UPGRADE all selected packages?"
"Assigned","Assigned"
"Attribute Set Name:","Attribute Set Name:"
"Attribute set successfully saved.","Attribute set successfully saved."
"Attribute set was successfully removed.","Attribute set was successfully removed."
"Available Version","Available Version"
"Average Order Amount","Average Order Amount"
"Average Orders","Average Orders"
"Back","Back"
"Back to Login","Back to Login"
"Back to local packages","Back to local packages"
"Backup","Backup"
"Backup record was deleted","Backup record was deleted"
"Backup successfully created","Backup successfully created"
"Backups","Backups"
"Base currency","Base currency"
"Bestsellers","Bestsellers"
"Big Image","Big Image"
"Billing Address","Billing Address"
"Billing address","Billing address"
"Block Information","Block Information"
"Both (without and with tax)","Both (without and with tax)"
"Browse Available Extensions","Browse Available Extensions"
"Browse Available Remote Extensions","Browse Available Remote Extensions"
"Browse Files...","Browse Files..."
"CSV","CSV"
"CSV / Tab separated","CSV / Tab separated"
"Cache management","Cache management"
"Can't delete design change","Can't delete design change"
"Can\'t find email address.","Can\'t find email address."
"Card Verification Number","Card Verification Number"
"Catalog","Catalog"
"Category","Category"
"Changelog","Changelog"
"Channel","Channel"
"Channel:","Channel:"
"Choose Store View","Choose Store View"
"Choose an attribute","Choose an attribute"
"Complete","Complete"
"Configuration","Configuration"
"Configuration successfully saved","Configuration successfully saved"
"Conflicts","Conflicts"
"Connect with the Magento Community","Connect with the Magento Community"
"Contents","Contents"
"Convert to Plain Text","Convert to Plain Text"
"Cookie (Unsafe)","Cookie (Unsafe)"
"Country","Country"
"Country:","Country:"
"Coupon Code","Coupon Code"
"Coupons","Coupons"
"Create Extension Package","Create Extension Package"
"Create New Attribute","Create New Attribute"
"Create Urlrewrite for","Create Urlrewrite for"
"Created At","Created At"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Credit Card Type"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Creditmemo #%s comment added","Creditmemo #%s comment added"
"Creditmemo #%s created","Creditmemo #%s created"
"Currency","Currency"
"Currency Information","Currency Information"
"Current Configuration Scope:","Current Configuration Scope:"
"Current Release Information","Current Release Information"
"Custom","Custom"
"Customer","Customer"
"Customer Group:","Customer Group:"
"Customer Name","Customer Name"
"Customer Since:","Customer Since:"
"Customer was deleted","Customer was deleted"
"Customer was successfully saved","Customer was successfully saved"
"Customer with the same email already exists.","Customer with the same email already exists."
"Customers","Customers"
"Dashboard","Dashboard"
"Data Format","Data Format"
"Data transfer:","Data transfer:"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Date selector","Date selector"
"Date:","Date:"
"Default","Default"
"Default (Admin) Values","Default (Admin) Values"
"Default Config","Default Config"
"Default Values","Default Values"
"Default scope","Default scope"
"Delete","Delete"
"Delete Profile","Delete Profile"
"Delete Role","Delete Role"
"Delete Sitemap","Delete Sitemap"
"Delete Store View","Delete Store View"
"Delete Template","Delete Template"
"Delete Url","Delete Url"
"Delete User","Delete User"
"Delete Website","Delete Website"
"Dependencies","Dependencies"
"Description","Description"
"Description:","Description:"
"Design","Design"
"Design change deleted","Design change deleted"
"Design change saved","Design change saved"
"Direction:","Direction:"
"Disable","Disable"
"Disabled","Disabled"
"Discount Amount","Discount Amount"
"Display default currency","Display default currency"
"Done By:","Done By:"
"Done by:","Done by:"
"Download Remote File","Download Remote File"
"Download and Install","Download and Install"
"Downloading and installing $pkg, please wait...","Downloading and installing $pkg, please wait..."
"Edit","Edit"
"Edit Email Template","Edit Email Template"
"Edit Poll","Edit Poll"
"Edit Role","Edit Role"
"Edit Store View","Edit Store View"
"Edit System Template","Edit System Template"
"Edit Tag","Edit Tag"
"Edit Template","Edit Template"
"Edit Url","Edit Url"
"Edit Url #%s","Edit Url #%s"
"Edit User","Edit User"
"Edit User '%s'","Edit User '%s'"
"Edit Website","Edit Website"
"Email","Email"
"Email Address:","Email Address:"
"Email Preview","Email Preview"
"Email address is empty.","Email address is empty."
"Email:","Email:"
"Enable","Enable"
"Enabled","Enabled"
"Enclose Values In:","Enclose Values In:"
"Entity Type","Entity Type"
"Entity type:","Entity type:"
"Error uploading the file","Error uploading the file"
"Error while deleting this role. Please try again later.","Error while deleting this role. Please try again later."
"Error while deleting this set.","Error while deleting this set."
"Error while saving account. Please try again later","Error while saving account. Please try again later"
"Error while saving this configuration: ","Error while saving this configuration: "
"Error while saving this role. Please try again later.","Error while saving this role. Please try again later."
"Error while updating selected review(s). Please try again later.","Error while updating selected review(s). Please try again later."
"Exclude","Exclude"
"Exclude (comma separated)","Exclude (comma separated)"
"Expiration Date","Expiration Date"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Export","Export"
"Export CSV","Export CSV"
"Export Filters","Export Filters"
"Export to:","Export to:"
"Export:","Export:"
"Extension","Extension"
"Extension Name","Extension Name"
"Extensions","Extensions"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Field Mapping"
"File %s.ser could not be read","File %s.ser could not be read"
"File Information","File Information"
"File name:","File name:"
"File size should be more than 0 bytes","File size should be more than 0 bytes"
"Finished profile execution.","Finished profile execution."
"First Name","First Name"
"First Name:","First Name:"
"Firstname","Firstname"
"Forgot your password?","Forgot your password?"
"Forgot your user name or password?","Forgot your user name or password?"
"From","From"
"Gb","Gb"
"General Information","General Information"
"Get Image Base64","Get Image Base64"
"Get help for this page","Get help for this page"
"Global Attribute","Global Attribute"
"Global Record Search","Global Record Search"
"Grand Total","Grand Total"
"Grid (default) / List","Grid (default) / List"
"Grid only","Grid only"
"Group:","Group:"
"Guest","Guest"
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Home","Home"
"ID","ID"
"ID Path","ID Path"
"IP Address","IP Address"
"Ignore","Ignore"
"Images","Images"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Import","Import"
"Import Service","Import Service"
"Import/Export","Import/Export"
"Import/Export Advanced Profiles","Import/Export Advanced Profiles"
"Import/Export GUI Profiles","Import/Export GUI Profiles"
"Import/Export Profile","Import/Export Profile"
"Import/Export Profiles","Import/Export Profiles"
"Imported <strong>%s</strong> records","Imported <strong>%s</strong> records"
"In","In"
"In Database:","In Database:"
"In File:","In File:"
"Inactive","Inactive"
"Include","Include"
"Individual Item","Individual Item"
"Install","Install"
"Install Package File","Install Package File"
"Installed As","Installed As"
"Installed Extension Info","Installed Extension Info"
"Installed Version","Installed Version"
"Installing $pkg, please wait...","Installing $pkg, please wait..."
"Installing selected packages, please wait...","Installing selected packages, please wait..."
"Instant Payment Notification (IPN)","Instant Payment Notification (IPN)"
"Interactive","Interactive"
"Interface Locale: %s","Interface Locale: %s"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid URL","Invalid URL"
"Invalid Username or Password.","Invalid Username or Password."
"Invalid directory: %s","Invalid directory: %s"
"Invalid file: %s","Invalid file: %s"
"Invalid input data for %s => %s rate","Invalid input data for %s => %s rate"
"Invalid input:","Invalid input:"
"Invalid section value","Invalid section value"
"Invalid store value","Invalid store value"
"Invalid website value","Invalid website value"
"Invoice #%s comment added","Invoice #%s comment added"
"Invoice #%s created","Invoice #%s created"
"Invoice History","Invoice History"
"Invoice Totals","Invoice Totals"
"Issue Number","Issue Number"
"Items","Items"
"Kb","Kb"
"Last 24 hours","Last 24 hours"
"Last 5 Orders","Last 5 Orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Last 7 days","Last 7 days"
"Last Logged In:","Last Logged In:"
"Last Month","Last Month"
"Last Name","Last Name"
"Last Name:","Last Name:"
"Lastname","Lastname"
"Level","Level"
"License","License"
"License URI","License URI"
"License:","License:"
"Lifetime Sales","Lifetime Sales"
"List (default) / Grid","List (default) / Grid"
"List only","List only"
"Load","Load"
"Load Template","Load Template"
"Load default template","Load default template"
"Load previously created custom local package information","Load previously created custom local package information"
"Loading...","Loading..."
"Local Server","Local Server"
"Local/Remote Server","Local/Remote Server"
"Locale","Locale"
"Log Out","Log Out"
"Log in to Admin Panel","Log in to Admin Panel"
"Log into Magento Admin Page","Log into Magento Admin Page"
"Logged in as %s","Logged in as %s"
"Login","Login"
"MS Excel XML","MS Excel XML"
"Magento Admin","Magento Admin"
"Magento Commerce - Administrative Panel","Magento Commerce - Administrative Panel"
"Magento Extensions","Magento Extensions"
"Magento Logo","Magento Logo"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Maintainers"
"Manage Advanced Import/Export Profiles","Manage Advanced Import/Export Profiles"
"Manage Currency Rates","Manage Currency Rates"
"Manage Customers","Manage Customers"
"Manage Extensions","Manage Extensions"
"Manage Import/Export Profiles","Manage Import/Export Profiles"
"Manage Installed Extensions","Manage Installed Extensions"
"Manage Profiles","Manage Profiles"
"Manage Stores","Manage Stores"
"Manage Url Rewrites","Manage Url Rewrites"
"Max","Max"
"Maximum","Maximum"
"Mb","Mb"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)"
"Min","Min"
"Minimum","Minimum"
"Most Viewed Products","Most Viewed Products"
"My Account","My Account"
"Name","Name"
"Name on Card","Name on Card"
"Name on the Card: %s","Name on the Card: %s"
"Name:","Name:"
"New Accounts","New Accounts"
"New Customers","New Customers"
"New Email Template","New Email Template"
"New Extension","New Extension"
"New Password","New Password"
"New Profile","New Profile"
"New Store View","New Store View"
"New System Template","New System Template"
"New Tag","New Tag"
"New Template","New Template"
"New Url","New Url"
"New User","New User"
"New Website","New Website"
"New admin password","New admin password"
"Next page","Next page"
"No","No"
"No (price without tax)","No (price without tax)"
"No Data Found","No Data Found"
"No Extensions Found","No Extensions Found"
"No Templates Found","No Templates Found"
"No profile","No profile"
"No profile loaded...","No profile loaded..."
"No records found for this period.","No records found for this period."
"No records found.","No records found."
"No search keywords.","No search keywords."
"No search modules registered","No search modules registered"
"None","None"
"Notes","Notes"
"Notes:","Notes:"
"Number of Orders","Number of Orders"
"Number of Use","Number of Use"
"Number of Uses","Number of Uses"
"Old rate:","Old rate:"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available."
"Only mapped fields","Only mapped fields"
"Optional","Optional"
"Options","Options"
"Order #%s","Order #%s"
"Order #%s (%s)","Order #%s (%s)"
"Order Totals","Order Totals"
"Order confirmation email not sent","Order confirmation email not sent"
"Order confirmation email sent","Order confirmation email sent"
"Orders","Orders"
"Original Magento attribute names in first row:","Original Magento attribute names in first row:"
"PEAR Configuration was successfully saved","PEAR Configuration was successfully saved"
"PEAR Console","PEAR Console"
"PEAR config","PEAR config"
"PHP Version","PHP Version"
"Package","Package"
"Package %s data was successfully loaded","Package %s data was successfully loaded"
"Package Extensions","Package Extensions"
"Package Info","Package Info"
"Package Information","Package Information"
"Packages","Packages"
"Page","Page"
"Parent Product Thumbnail","Parent Product Thumbnail"
"Passive mode","Passive mode"
"Password","Password"
"Password Confirmation","Password Confirmation"
"Password:","Password:"
"Path","Path"
"Path:","Path:"
"Payment Data Transfer (PDT)","Payment Data Transfer (PDT)"
"Payment method must be specified","Payment method must be specified"
"Pending Tags","Pending Tags"
"Pending installation...","Pending installation..."
"Per Item","Per Item"
"Per Order","Per Order"
"Performed At","Performed At"
"Period","Period"
"Permissions","Permissions"
"Personal Information","Personal Information"
"Phone:","Phone:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Please confirm site switching. All data that hasn\'t been saved will be lost."
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please fill in 'email' field.","Please fill in 'email' field."
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated."
"Please make sure that your changes were saved before running the profile.","Please make sure that your changes were saved before running the profile."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select State/Province.","Please select State/Province."
"Please select a category","Please select a category"
"Please select a custmer","Please select a custmer"
"Please select a product","Please select a product"
"Please select a store","Please select a store"
"Please select a type","Please select a type"
"Please select an option.","Please select an option."
"Please select catalog searches","Please select catalog searches"
"Please select customer(s)","Please select customer(s)"
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please select review(s)","Please select review(s)"
"Please select tag(s)","Please select tag(s)"
"Please specify at least start or end date.","Please specify at least start or end date."
"Please use in this field only ""a-z,0-9,_"".","Please use in this field only ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
