"",""
"Action","Action"
"All types","All types"
"Backup file doesn't exist","Backup file doesn't exist"
"Backups","Backups"
"Backups Control","Backups Control"
"Cannot read backup file","Cannot read backup file"
"Create Backup","Create Backup"
"DB","DB"
"Download","Download"
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Time","Time"
"Type","Type"
"Wrong order of creation for new backup","Wrong order of creation for new backup"
