"",""
"# of Use","# of Use"
"%s Item(s)","%s Item(s)"
"(Copy data from: %s)","(Copy data from: %s)"
"(Will make search for the query above return results for this search.)","(Will make search for the query above return results for this search.)"
"-- Please Select --","-- Please Select --"
"A name is required","A name is required"
"ALL GROUPS","ALL GROUPS"
"Action","Action"
"Add Attribute","Add Attribute"
"Add Design Change","Add Design Change"
"Add Group","Add Group"
"Add Items to Cart","Add Items to Cart"
"Add New","Add New"
"Add New Attribute","Add New Attribute"
"Add New Attribute Set","Add New Attribute Set"
"Add New Group","Add New Group"
"Add New Images","Add New Images"
"Add New Search Term","Add New Search Term"
"Add New Set","Add New Set"
"Add Option","Add Option"
"Add Product","Add Product"
"Add Recipient","Add Recipient"
"Add Tier","Add Tier"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to My Wishlist","Add to My Wishlist"
"Add to Wishlist","Add to Wishlist"
"Additional Information","Additional Information"
"All","All"
"All Product Types","All Product Types"
"All Reviews","All Reviews"
"Apply To","Apply To"
"Apply To Configurable/Grouped Product","Apply To Configurable/Grouped Product"
"Approved","Approved"
"Are you sure you want to delete this attribute set?","Are you sure you want to delete this attribute set?"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"As low as:","As low as:"
"Associated Products","Associated Products"
"Attrib. Set Name","Attrib. Set Name"
"Attribute Code","Attribute Code"
"Attribute Identifier","Attribute Identifier"
"Attribute Information","Attribute Information"
"Attribute Label","Attribute Label"
"Attribute Model","Attribute Model"
"Attribute Name:","Attribute Name:"
"Attribute Properties","Attribute Properties"
"Attribute Set","Attribute Set"
"Attribute model not defined","Attribute model not defined"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Attributes","Attributes"
"Autogenerate","Autogenerate"
"Availability: In stock.","Availability: In stock."
"Availability: In stock. Ships within 24 hours.","Availability: In stock. Ships within 24 hours."
"Availability: Out of stock.","Availability: Out of stock."
"Back","Back"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Base directory to upload image file is not specified"
"Based On","Based On"
"Best Selling Products","Best Selling Products"
"Best Value","Best Value"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Browse By","Browse By"
"Bundle","Bundle"
"Buy %s for %s","Buy %s for %s"
"Buy %s for %s each","Buy %s for %s each"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Catalog"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Price Scope","Catalog Price Scope"
"Catalog Searches","Catalog Searches"
"Catalog, Search","Catalog, Search"
"Categories","Categories"
"Category","Category"
"Category Data","Category Data"
"Category Navigation:","Category Navigation:"
"Category Products","Category Products"
"Category delete error","Category delete error"
"Category deleted","Category deleted"
"Category move error","Category move error"
"Category saved","Category saved"
"Change","Change"
"Change status","Change status"
"Check items to add to the cart or ","Check items to add to the cart or "
"Choose an Option...","Choose an Option..."
"Choose option...","Choose option..."
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Clear All Items","Clear All Items"
"Close Window","Close Window"
"Comparable","Comparable"
"Comparable on Front-end","Comparable on Front-end"
"Compare Items","Compare Items"
"Compare Products","Compare Products"
"Compare Products - %d Items","Compare Products - %d Items"
"Compare Products List","Compare Products List"
"Compare list successfully cleared","Compare list successfully cleared"
"Conditions Combination","Conditions Combination"
"Configurable Product","Configurable Product"
"Configurable Product Settings","Configurable Product Settings"
"Continue","Continue"
"Copy From Configurable","Copy From Configurable"
"Create Empty","Create Empty"
"Create Product Settings","Create Product Settings"
"Create Simple Associated Product","Create Simple Associated Product"
"Cross-sell Products","Cross-sell Products"
"Cross-sells","Cross-sells"
"Currently Shopping by","Currently Shopping by"
"Custom Design","Custom Design"
"Customer Group","Customer Group"
"Customer Reviews","Customer Reviews"
"Customers Reviews","Customers Reviews"
"Customers Tagged Product","Customers Tagged Product"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date","Date"
"Date Subscribed","Date Subscribed"
"Datetime","Datetime"
"Decimal","Decimal"
"Decimal Number","Decimal Number"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Qty","Default Qty"
"Default Tax Class","Default Tax Class"
"Default Values","Default Values"
"Default price","Default price"
"Default value","Default value"
"Delete","Delete"
"Delete Attribute","Delete Attribute"
"Delete Attribute Set","Delete Attribute Set"
"Delete Category","Delete Category"
"Delete Option","Delete Option"
"Delete Search","Delete Search"
"Delete Selected Group","Delete Selected Group"
"Design","Design"
"Disabled","Disabled"
"Discount","Discount"
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","Double click on a group to rename it"
