"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Decrease Stock When Order is Placed","Decrease Stock When Order is Placed"
"Inventory","Inventory"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Items' Status to be In Stock","Minimum Qty for Items' Status to be In Stock"
"No Backorders","No Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Rule price","Rule price"
"Stock Options","Stock Options"
"The requested quantity for ""%s"" is not available.","The requested quantity for ""%s"" is not available."
"The requested quantity is not available.","The requested quantity is not available."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Update the Product","Update the Product"
