"-- Please select --","-- Please select --"
"Allowed currencies","Allowed currencies"
"Base currency (Currency will be used for all online payment transactions)","Base currency (Currency will be used for all online payment transactions)"
"Cannot retrieve rate from %s","Cannot retrieve rate from %s"
"Continue &raquo;","Continue &raquo;"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Currency","Currency"
"Currency Options","Currency Options"
"Currency Setup","Currency Setup"
"Currency Update Warnings","Currency Update Warnings"
"Default display currency","Default display currency"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Installed Currencies","Installed Currencies"
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid country code: %s","Invalid country code: %s"
"Invalid rates received","Invalid rates received"
"Invalid target currency","Invalid target currency"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Select Your Currency"
"Service","Service"
"Start Time","Start Time"
"State/Province","State/Province"
"Unable to initialize import model","Unable to initialize import model"
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"WARNING:","WARNING:"
"Your current currency is: %s","Your current currency is: %s"
