"ALL","ALL"
"ANY","ANY"
"Add","Add"
"Apply","Apply"
"Description: %s","Description: %s"
"Expire at: %s","Expire at: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Name: %s","Name: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","Remove"
"Start at: %s","Start at: %s"
"TRUE","TRUE"
"by","by"
"to","to"
