" The customer doesn\'t exist in the system anymore"," The customer doesn\'t exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" coupon code is not valid."
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Requires Tax Based On Shipping Origin</span>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>"
"About This Order:","About This Order:"
"About Your Order","About Your Order"
"Account Information","Account Information"
"Action","Action"
"Actions","Actions"
"Add","Add"
"Add New Address","Add New Address"
"Add Order Comments","Add Order Comments"
"Add Product","Add Product"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"Add To Order","Add To Order"
"Add Tracking Number","Add Tracking Number"
"Add a gift message for <strong>each gift item</strong>","Add a gift message for <strong>each gift item</strong>"
"Add a gift message for the <strong>entire order</strong>","Add a gift message for the <strong>entire order</strong>"
"Add to Cart","Add to Cart"
"Address","Address"
"Adjustment Fee","Adjustment Fee"
"Adjustment Fee:","Adjustment Fee:"
"Adjustment Refund","Adjustment Refund"
"Adjustment Refund:","Adjustment Refund:"
"Allow Reorder","Allow Reorder"
"Append Comments","Append Comments"
"Apply","Apply"
"Apply Coupon Code","Apply Coupon Code"
"Apply Tax after Discount","Apply Tax after Discount"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Are you sure?","Are you sure?"
"Are you sure? This order will be cancelled and a new one will be created instead","Are you sure? This order will be cancelled and a new one will be created instead"
"Back to My Orders","Back to My Orders"
"Backordered","Backordered"
"Bill to First name","Bill to First name"
"Bill to Last name","Bill to Last name"
"Bill to Name","Bill to Name"
"Billing Address","Billing Address"
"Can nod add order history.","Can nod add order history."
"Can not add new comment.","Can not add new comment."
"Can not add tracking number.","Can not add tracking number."
"Can not create block ""%s""","Can not create block ""%s"""
"Can not delete tracking number.","Can not delete tracking number."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not do shipment for order.","Can not do shipment for order."
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not register existing creditmemo","Can not register existing creditmemo"
"Can not register existing invoice","Can not register existing invoice"
"Can not register existing shipment","Can not register existing shipment"
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save creditmemo","Can not save creditmemo"
"Can not save invoice","Can not save invoice"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Can not send shipment information."
"Can not update item qty","Can not update item qty"
"Can\'t get order instance","Can\'t get order instance"
"Cancel","Cancel"
"Canceled","Canceled"
"Capture","Capture"
"Capture Amount","Capture Amount"
"Carrier","Carrier"
"Catalog prices include tax","Catalog prices include tax"
"Change Status","Change Status"
"Checkout totals sort order","Checkout totals sort order"
"Click to change shipping method","Click to change shipping method"
"Closed","Closed"
"Comment","Comment"
"Comment Text","Comment Text"
"Comment text field can not be empty.","Comment text field can not be empty."
"Comments History","Comments History"
"Complete","Complete"
"Country","Country"
"Coupons","Coupons"
"Create","Create"
"Create New Customer","Create New Customer"
"Create New Order","Create New Order"
"Create New Order for %s","Create New Order for %s"
"Create New Order for %s in %s","Create New Order for %s in %s"
"Create New Order for New Customer","Create New Order for New Customer"
"Create New Order for New Customer in %s","Create New Order for New Customer in %s"
"Create Shipment","Create Shipment"
"Created At","Created At"
"Credit Memo","Credit Memo"
"Credit Memo #","Credit Memo #"
"Credit Memo # ","Credit Memo # "
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
