"",""
"Add New Class","Add New Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"CSV","CSV"
"Class Name","Class Name"
"Country","Country"
"County","County"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Edit Rule"
"Edit Tax Rate","Edit Tax Rate"
"Error while deleting this class. Please try again later.","Error while deleting this class. Please try again later."
"Error while deleting this rate. Incorrect rate ID","Error while deleting this rate. Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Error while saving this rate. Please try again later."
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Error while saving this tax rule. This product tax class and customer tax class combination","Error while saving this tax rule. This product tax class and customer tax class combination"
"Excl. Tax","Excl. Tax"
"Export Tax Rates","Export Tax Rates"
"ID","ID"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","Invalid data for tax rate calculation"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Rules","Manage Tax Rules"
"NONE","NONE"
"New Class","New Class"
"New Rule","New Rule"
"New Tax Rate","New Tax Rate"
"One of row has invalid country code.","One of row has invalid country code."
"Please select Country","Please select Country"
"Please select County","Please select County"
"Please select State","Please select State"
"Product Tax Class","Product Tax Class"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Classes","Product Tax Classes"
"Reset","Reset"
"Sales","Sales"
"Save Class","Save Class"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"State","State"
"State/Region","State/Region"
"Tax","Tax"
"Tax Rate","Tax Rate"
"Tax Rate Information","Tax Rate Information"
"Tax Rates","Tax Rates"
"Tax Rates Import / Export","Tax Rates Import / Export"
"Tax Rule Information","Tax Rule Information"
"Tax Rules","Tax Rules"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Tax class was successfully saved","Tax class was successfully saved"
"Tax rate was successfully deleted","Tax rate was successfully deleted"
"Tax rate was successfully imported","Tax rate was successfully imported"
"Tax rate was successfully saved","Tax rate was successfully saved"
"Tax rule was successfully deleted","Tax rule was successfully deleted"
"Tax rule was successfully saved","Tax rule was successfully saved"
"This class no longer exists","This class no longer exists"
"This rule no longer exists","This rule no longer exists"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Zip/Post Code"
